"id","alter_id","camp","egoAge","egoSex","recAge","recSex","ageDiff","sexDiff","rel"
"P1168","P1184","P2",16.41,0,3.16,1,-13.25,0,0.25
"P1168","P1165","P2",16.41,0,0.26,1,-16.15,0,0.25
"P1183","P1130","P2",15,0,1.47,0,-13.53,1,0.25
"P1183","P1085","P2",15,0,8.63,0,-6.37,1,0.25
"P1183","P1103","P2",15,0,14,0,-1,1,0.00391
"P1048","P1151","P2",17,0,18,0,1,1,0.01563
"P1048","P1217","P2",17,0,12,0,-5,1,0
"P1140","P1130","P2",12.26,1,1.47,0,-10.79,0,0.25
"P1140","P1085","P2",12.26,1,8.63,0,-3.63,0,0.5
"P1140","P1183","P2",12.26,1,15,0,2.74,0,0.25
"P1085","P1130","P2",8.63,0,1.47,0,-7.16,1,0.25
"P1085","P1130","P2",8.63,0,1.47,0,-7.16,1,0.25
"P1171","P1185","P2",12.26,1,7,1,-5.26,1,0
"P1171","P1154","P2",12.26,1,10,1,-2.26,1,0
"P1202","P1089","P2",6,1,5,1,-1,1,0.5
"P1202","P1089","P2",6,1,5,1,-1,1,0.5
"P1089","P1134","P2",5,1,10,1,5,1,0.5
"P1089","P1134","P2",5,1,10,1,5,1,0.5
"P1073","P1092","P2",10.86,1,3.13,0,-7.73,0,0
"P1195","P1047","P2",7.49,1,7.71,0,0.22,0,0.03125
"P1222","P1195","P2",5.42,1,7.49,1,2.07,1,0.5
"P1222","P1195","P2",5.42,1,7.49,1,2.07,1,0.5
"P1222","P1195","P2",5.42,1,7.49,1,2.07,1,0.5
"P1222","P1195","P2",5.42,1,7.49,1,2.07,1,0.5
"P1222","P1195","P2",5.42,1,7.49,1,2.07,1,0.5
"P1151","P1138","P2",18,0,0.66,0,-17.34,1,0.5
"P1151","P1185","P2",18,0,7,1,-11,0,0.03125
"P1123","P1218","P2",10,1,5,0,-5,0,0.5
"P1123","P1151","P2",10,1,18,0,8,0,0.5
"P1123","P1138","P2",10,1,0.66,0,-9.34,0,0.5
"P1046","P1218","P2",8,1,5,0,-3,0,0.5
"P1046","P1218","P2",8,1,5,0,-3,0,0.5
"P1218","P1166","P2",5,0,3,0,-2,1,0.5
"P1218","P1166","P2",5,0,3,0,-2,1,0.5
"P1218","P1138","P2",5,0,0.66,0,-4.34,1,0.5
