"id","camp","Cond","Rel"
"P1168","P2","Recipients",0.25
"P1168","P2","Recipients",0.25
"P1183","P2","Recipients",0.25
"P1183","P2","Recipients",0.25
"P1183","P2","Recipients",0.00391
"P1048","P2","Recipients",0.01563
"P1048","P2","Recipients",0
"P1140","P2","Recipients",0.25
"P1140","P2","Recipients",0.5
"P1140","P2","Recipients",0.25
"P1085","P2","Recipients",0.25
"P1085","P2","Recipients",0.25
"P1171","P2","Recipients",0
"P1171","P2","Recipients",0
"P1202","P2","Recipients",0.5
"P1202","P2","Recipients",0.5
"P1089","P2","Recipients",0.5
"P1089","P2","Recipients",0.5
"P1073","P2","Recipients",0
"P1195","P2","Recipients",0.03125
"P1222","P2","Recipients",0.5
"P1222","P2","Recipients",0.5
"P1222","P2","Recipients",0.5
"P1222","P2","Recipients",0.5
"P1222","P2","Recipients",0.5
"P1151","P2","Recipients",0.5
"P1151","P2","Recipients",0.03125
"P1123","P2","Recipients",0.5
"P1123","P2","Recipients",0.5
"P1123","P2","Recipients",0.5
"P1046","P2","Recipients",0.5
"P1046","P2","Recipients",0.5
"P1218","P2","Recipients",0.5
"P1218","P2","Recipients",0.5
"P1218","P2","Recipients",0.5
"P1118","P2","Recipients",0.5
"P1118","P2","Recipients",0.5
"P1118","P2","Recipients",0.125
"P1013","P2","Recipients",0
"P1013","P2","Recipients",0
"P1117","P2","Recipients",0.5
"P1120","P2","Recipients",0.25
"P1120","P2","Recipients",0.25
"P1133","P2","Recipients",0.5
"P1133","P2","Recipients",0
"P1153","P2","Recipients",0.0625
"P1153","P2","Recipients",0
"P1153","P2","Recipients",0.03125
"P1207","P2","Recipients",0.0625
"P1207","P2","Recipients",0.5
"P1207","P2","Recipients",0.0625
"P1226","P2","Recipients",0.5
"P1226","P2","Recipients",0.5
"P1226","P2","Recipients",0.5
"P1226","P2","Recipients",0.5
"P1217","P2","Recipients",0.0625
"P1217","P2","Recipients",0.25
"P1125","P2","Recipients",0.5
"P1125","P2","Recipients",0
"P1125","P2","Recipients",0.5
"P1189","P2","Recipients",0
"P1189","P2","Recipients",0.5
"P1189","P2","Recipients",0.5
"P1154","P2","Recipients",0.5
"P1154","P2","Recipients",0.5
"P1154","P2","Recipients",0.5
"P1026","P2","Recipients",0.5
"P1026","P2","Recipients",0.5
"P1185","P2","Recipients",0.5
"P1185","P2","Recipients",0.5
"P1186","P2","Recipients",0.5
"P1186","P2","Recipients",0.5
"P1186","P2","Recipients",0.5
"P1186","P2","Recipients",0.5
"P1091","P2","Recipients",0.5
"P1091","P2","Recipients",0
"P1091","P2","Recipients",0.0332
"P1091","P2","Recipients",0.0625
"P1047","P2","Recipients",0.5
"P1047","P2","Recipients",0.5
"P1103","P2","Recipients",0.5
"P1103","P2","Recipients",0.5
"P1103","P2","Recipients",0.5
"P1225","P2","Recipients",0.5
"P1095","P2","Recipients",0.5
"P1010","P3","Recipients",0.125
"P1010","P3","Recipients",0.125
"P1034","P3","Recipients",0
"P1034","P3","Recipients",0.125
"P1039","P3","Recipients",0.5
"P1039","P3","Recipients",0.5
"P1155","P3","Recipients",0.5
"P1155","P3","Recipients",0.5
"P1155","P3","Recipients",0.5
"P1191","P3","Recipients",0.5
"P1191","P3","Recipients",0.5
"P1191","P3","Recipients",0.5
"P1042","P3","Recipients",0.5
"P1042","P3","Recipients",0.5
"P1157","P3","Recipients",0.125
"P1157","P3","Recipients",0.125
"P1157","P3","Recipients",0.5
"P1144","P3","Recipients",0.5
"P1144","P3","Recipients",0.5
"P1144","P3","Recipients",0.5
"P1159","P3","Recipients",0.5
"P1158","P3","Recipients",0.5
"P1158","P3","Recipients",0.5
"P1158","P3","Recipients",0.5
"P1208","P3","Recipients",0.5
"P1208","P3","Recipients",0.5
"P1208","P3","Recipients",0
"P1206","P3","Recipients",0
"P1206","P3","Recipients",0.125
"P1065","P3","Recipients",0
"P1065","P3","Recipients",0
"P1152","P4","Recipients",0.03125
"P1152","P4","Recipients",0.5
"P1136","P4","Recipients",0.5
"P1119","P4","Recipients",0.5
"P1119","P4","Recipients",0.5
"P1110","P4","Recipients",0.25
"P1110","P4","Recipients",0.25
"P1110","P4","Recipients",0.25
"P1002","P4","Recipients",0.5
"P1002","P4","Recipients",0.5
"P1174","P4","Recipients",0.125
"P1093","P5","Recipients",0.01563
"P1093","P5","Recipients",0.01563
"P1093","P5","Recipients",0.00781
"P1187","P5","Recipients",0.25
"P1187","P5","Recipients",0.125
"P1164","P5","Recipients",0.01563
"P1164","P5","Recipients",0.01563
"P1211","P5","Recipients",0.125
"P1211","P5","Recipients",0.125
"P1211","P5","Recipients",0.125
"P1211","P5","Recipients",0.125
"P1008","P5","Recipients",0.00781
"P1008","P5","Recipients",0.00781
"P1008","P5","Recipients",0.0625
"P1008","P5","Recipients",0.0625
"P1219","P5","Recipients",0.5
"P1219","P5","Recipients",0.5
"P1219","P5","Recipients",0.5
"P1029","P5","Recipients",0.5
"P1029","P5","Recipients",0.5
"P1029","P5","Recipients",0.5
"P1029","P5","Recipients",0.5
"P1111","P5","Recipients",0.5
"P1111","P5","Recipients",0.5
"P1115","P5","Recipients",0.5
"P1115","P5","Recipients",0.5
"P1115","P5","Recipients",0.125
"P1115","P5","Recipients",0.5
"P1115","P5","Recipients",0.5
"P1205","P5","Recipients",0.125
"P1205","P5","Recipients",0
"P1037","P5","Recipients",0.5
"P1037","P5","Recipients",0.5
"P1100","P5","Recipients",0.125
"P1100","P5","Recipients",0.125
"P1121","P5","Recipients",0.5
"P1121","P5","Recipients",0.5
"P1041","P5","Recipients",0.01563
"P1041","P5","Recipients",0
"P1041","P5","Recipients",0.01563
"P1041","P5","Recipients",0
"P1033","P6","Recipients",0.5
"P1036","P6","Recipients",0
"P1036","P6","Recipients",0
"P1036","P6","Recipients",0
"P1084","P6","Recipients",0.5
"P1084","P6","Recipients",0.5
"P1084","P6","Recipients",0.5
"P1162","P6","Recipients",0.5
"P1067","P6","Recipients",0.25
"P1067","P6","Recipients",0
"P1067","P6","Recipients",0.25
"P1113","P6","Recipients",0.125
"P1113","P6","Recipients",0.125
"P1052","P6","Recipients",0.5
"P1052","P6","Recipients",0.5
"P1052","P6","Recipients",0.5
"P1193","P7","Recipients",0.03125
"P1193","P7","Recipients",0.0078
"P1193","P7","Recipients",0.00781
"P1064","P7","Recipients",0.03125
"P1063","P7","Recipients",0.25
"P1063","P7","Recipients",0.25
"P1190","P7","Recipients",0.25
"P1190","P7","Recipients",0.25
"P1061","P7","Recipients",0.00781
"P1061","P7","Recipients",0.00781
"P1061","P7","Recipients",0.00781
"P1139","P7","Recipients",0.03125
"P1139","P7","Recipients",0.125
"P1139","P7","Recipients",0
"P1139","P7","Recipients",0
"P1192","P7","Recipients",0.5
"P1192","P7","Recipients",0
"P1192","P7","Recipients",0
"P1132","P7","Recipients",0.5
"P1132","P7","Recipients",0.03125
"P1132","P7","Recipients",0
"P1126","P7","Recipients",0
"P1126","P7","Recipients",0.03125
"P1126","P7","Recipients",0.0625
"P1126","P7","Recipients",0.03125
"P1126","P7","Recipients",0
"P1169","P7","Recipients",0.01563
"P1169","P7","Recipients",0.5
"P1169","P7","Recipients",0.04688
"P1099","P7","Recipients",0.5
"P1150","P7","Recipients",0.5
"P1150","P7","Recipients",0.5
"P1172","P7","Recipients",0.125
"P1106","P7","Recipients",0.5
"P1106","P7","Recipients",0.5
"P1101","P8","Recipients",0.5
"P1009","P8","Recipients",0.5
"P1148","P8","Recipients",0.5
"P1007","P8","Recipients",0.5
"P1007","P8","Recipients",0.5
"P1007","P8","Recipients",0.5
"P1012","P8","Recipients",0.5
"P1012","P8","Recipients",0.5
"P1012","P8","Recipients",0.5
"P1032","P8","Recipients",0.5
"P1197","P10","Recipients",0
"P1102","P10","Recipients",0.25
